loss=0.0029, MC price=0.0133, predicted=0.0036
loss=0.0028, MC price=0.0132, predicted=0.0035
loss=0.0028, MC price=0.0135, predicted=0.0034
loss=0.0033, MC price=0.0145, predicted=0.0033
loss=0.0030, MC price=0.0133, predicted=0.0032
loss=0.0030, MC price=0.0145, predicted=0.0031
loss=0.0031, MC price=0.0141, predicted=0.0030
loss=0.0032, MC price=0.0148, predicted=0.0029
loss=0.0028, MC price=0.0135, predicted=0.0028
loss=0.0033, MC price=0.0141, predicted=0.0027
loss=0.0028, MC price=0.0129, predicted=0.0027
loss=0.0024, MC price=0.0117, predicted=0.0026
loss=0.0030, MC price=0.0139, predicted=0.0025
loss=0.0036, MC price=0.0154, predicted=0.0024
loss=0.0034, MC price=0.0140, predicted=0.0024
loss=0.0036, MC price=0.0148, predicted=0.0023
loss=0.0030, MC price=0.0135, predicted=0.0022
loss=0.0030, MC price=0.0138, predicted=0.0022
loss=0.0032, MC price=0.0151, predicted=0.0021
loss=0.0031, MC price=0.0141, predicted=0.0021
loss=0.0029, MC price=0.0130, predicted=0.0020
loss=0.0026, MC price=0.0122, predicted=0.0019
loss=0.0033, MC price=0.0152, predicted=0.0019
loss=0.0033, MC price=0.0144, predicted=0.0018
loss=0.0033, MC price=0.0147, predicted=0.0018
loss=0.0031, MC price=0.0148, predicted=0.0017
loss=0.0030, MC price=0.0140, predicted=0.0017
loss=0.0028, MC price=0.0135, predicted=0.0016
loss=0.0033, MC price=0.0144, predicted=0.0016
loss=0.0026, MC price=0.0132, predicted=0.0015
loss=0.0038, MC price=0.0153, predicted=0.0015
loss=0.0028, MC price=0.0132, predicted=0.0015
loss=0.0029, MC price=0.0139, predicted=0.0014
loss=0.0033, MC price=0.0139, predicted=0.0014
loss=0.0029, MC price=0.0138, predicted=0.0013
loss=0.0032, MC price=0.0147, predicted=0.0013
loss=0.0029, MC price=0.0139, predicted=0.0013
loss=0.0032, MC price=0.0139, predicted=0.0012
loss=0.0030, MC price=0.0135, predicted=0.0012
loss=0.0038, MC price=0.0154, predicted=0.0012
loss=0.0033, MC price=0.0148, predicted=0.0011
loss=0.0032, MC price=0.0144, predicted=0.0011
loss=0.0031, MC price=0.0137, predicted=0.0011
loss=0.0027, MC price=0.0127, predicted=0.0010
loss=0.0030, MC price=0.0141, predicted=0.0010
loss=0.0034, MC price=0.0155, predicted=0.0010
loss=0.0036, MC price=0.0153, predicted=0.0010
loss=0.0031, MC price=0.0143, predicted=0.0009
loss=0.0032, MC price=0.0141, predicted=0.0009
loss=0.0032, MC price=0.0141, predicted=0.0009
loss=0.0032, MC price=0.0140, predicted=0.0009
loss=0.0033, MC price=0.0140, predicted=0.0008
loss=0.0029, MC price=0.0132, predicted=0.0008
loss=0.0031, MC price=0.0132, predicted=0.0008
loss=0.0029, MC price=0.0134, predicted=0.0008
loss=0.0032, MC price=0.0143, predicted=0.0007
loss=0.0027, MC price=0.0134, predicted=0.0007
loss=0.0032, MC price=0.0141, predicted=0.0007
loss=0.0033, MC price=0.0151, predicted=0.0007
loss=0.0028, MC price=0.0134, predicted=0.0007
loss=0.0034, MC price=0.0146, predicted=0.0006
loss=0.0030, MC price=0.0139, predicted=0.0006
loss=0.0028, MC price=0.0131, predicted=0.0006
loss=0.0035, MC price=0.0147, predicted=0.0006
loss=0.0027, MC price=0.0132, predicted=0.0006
loss=0.0029, MC price=0.0141, predicted=0.0006
loss=0.0025, MC price=0.0125, predicted=0.0006
loss=0.0032, MC price=0.0145, predicted=0.0005
loss=0.0030, MC price=0.0135, predicted=0.0005
loss=0.0031, MC price=0.0141, predicted=0.0005
loss=0.0030, MC price=0.0136, predicted=0.0005
loss=0.0031, MC price=0.0137, predicted=0.0005
loss=0.0035, MC price=0.0148, predicted=0.0005
loss=0.0033, MC price=0.0143, predicted=0.0005
loss=0.0033, MC price=0.0145, predicted=0.0004
loss=0.0030, MC price=0.0136, predicted=0.0004
loss=0.0036, MC price=0.0159, predicted=0.0004
loss=0.0026, MC price=0.0128, predicted=0.0004
loss=0.0029, MC price=0.0130, predicted=0.0004
loss=0.0030, MC price=0.0139, predicted=0.0004
loss=0.0036, MC price=0.0152, predicted=0.0004
loss=0.0034, MC price=0.0144, predicted=0.0004
loss=0.0027, MC price=0.0130, predicted=0.0004
loss=0.0034, MC price=0.0149, predicted=0.0004
loss=0.0030, MC price=0.0135, predicted=0.0003
loss=0.0031, MC price=0.0140, predicted=0.0003
loss=0.0025, MC price=0.0125, predicted=0.0003
loss=0.0031, MC price=0.0141, predicted=0.0003
loss=0.0033, MC price=0.0146, predicted=0.0003
loss=0.0034, MC price=0.0158, predicted=0.0003
loss=0.0032, MC price=0.0135, predicted=0.0003
loss=0.0030, MC price=0.0136, predicted=0.0003
loss=0.0027, MC price=0.0132, predicted=0.0003
loss=0.0029, MC price=0.0135, predicted=0.0003
loss=0.0029, MC price=0.0135, predicted=0.0003
loss=0.0034, MC price=0.0154, predicted=0.0003
loss=0.0033, MC price=0.0148, predicted=0.0003
loss=0.0033, MC price=0.0146, predicted=0.0003
loss=0.0031, MC price=0.0137, predicted=0.0002
loss=0.0028, MC price=0.0131, predicted=0.0002
loss=0.0031, MC price=0.0135, predicted=0.0002
loss=0.0030, MC price=0.0137, predicted=0.0002
loss=0.0030, MC price=0.0135, predicted=0.0002
loss=0.0028, MC price=0.0137, predicted=0.0002
loss=0.0026, MC price=0.0130, predicted=0.0002
loss=0.0030, MC price=0.0131, predicted=0.0002
loss=0.0033, MC price=0.0144, predicted=0.0002
loss=0.0029, MC price=0.0133, predicted=0.0002
loss=0.0032, MC price=0.0140, predicted=0.0002
loss=0.0032, MC price=0.0145, predicted=0.0002
loss=0.0031, MC price=0.0137, predicted=0.0002
loss=0.0032, MC price=0.0143, predicted=0.0002
loss=0.0031, MC price=0.0142, predicted=0.0002
loss=0.0030, MC price=0.0139, predicted=0.0002
loss=0.0031, MC price=0.0143, predicted=0.0002
loss=0.0027, MC price=0.0133, predicted=0.0002
loss=0.0034, MC price=0.0143, predicted=0.0002
loss=0.0036, MC price=0.0155, predicted=0.0002
loss=0.0033, MC price=0.0145, predicted=0.0002
loss=0.0031, MC price=0.0146, predicted=0.0002
loss=0.0032, MC price=0.0148, predicted=0.0002
loss=0.0030, MC price=0.0136, predicted=0.0002
loss=0.0033, MC price=0.0147, predicted=0.0002
loss=0.0032, MC price=0.0143, predicted=0.0002
loss=0.0030, MC price=0.0137, predicted=0.0003
loss=0.0029, MC price=0.0137, predicted=0.0004
loss=0.0029, MC price=0.0135, predicted=0.0007
loss=0.0031, MC price=0.0140, predicted=0.0042
loss=0.0031, MC price=0.0146, predicted=0.0155
loss=0.0035, MC price=0.0163, predicted=0.0159
loss=0.0033, MC price=0.0151, predicted=0.0160
loss=0.0032, MC price=0.0153, predicted=0.0156
loss=0.0027, MC price=0.0136, predicted=0.0170
loss=0.0027, MC price=0.0131, predicted=0.0157
loss=0.0034, MC price=0.0152, predicted=0.0166
loss=0.0033, MC price=0.0154, predicted=0.0169
loss=0.0027, MC price=0.0137, predicted=0.0159
loss=0.0027, MC price=0.0138, predicted=0.0162
loss=0.0025, MC price=0.0132, predicted=0.0167
loss=0.0029, MC price=0.0139, predicted=0.0175
loss=0.0031, MC price=0.0139, predicted=0.0178
loss=0.0032, MC price=0.0147, predicted=0.0167
loss=0.0028, MC price=0.0138, predicted=0.0170
loss=0.0028, MC price=0.0136, predicted=0.0176
loss=0.0032, MC price=0.0148, predicted=0.0174
loss=0.0032, MC price=0.0143, predicted=0.0174
loss=0.0030, MC price=0.0146, predicted=0.0184
loss=0.0027, MC price=0.0139, predicted=0.0178
loss=0.0028, MC price=0.0142, predicted=0.0185
loss=0.0026, MC price=0.0134, predicted=0.0197
loss=0.0030, MC price=0.0150, predicted=0.0188
loss=0.0029, MC price=0.0140, predicted=0.0183
loss=0.0026, MC price=0.0128, predicted=0.0188
loss=0.0025, MC price=0.0127, predicted=0.0198
loss=0.0028, MC price=0.0138, predicted=0.0184
loss=0.0030, MC price=0.0138, predicted=0.0191
loss=0.0024, MC price=0.0127, predicted=0.0192
loss=0.0031, MC price=0.0152, predicted=0.0195
loss=0.0031, MC price=0.0150, predicted=0.0209
loss=0.0028, MC price=0.0137, predicted=0.0192
loss=0.0024, MC price=0.0128, predicted=0.0222
loss=0.0028, MC price=0.0140, predicted=0.0209
loss=0.0031, MC price=0.0144, predicted=0.0197
loss=0.0025, MC price=0.0134, predicted=0.0210
loss=0.0027, MC price=0.0138, predicted=0.0228
loss=0.0029, MC price=0.0146, predicted=0.0211
loss=0.0028, MC price=0.0139, predicted=0.0201
loss=0.0027, MC price=0.0135, predicted=0.0218
loss=0.0025, MC price=0.0131, predicted=0.0221
loss=0.0027, MC price=0.0138, predicted=0.0218
loss=0.0026, MC price=0.0131, predicted=0.0234
loss=0.0026, MC price=0.0135, predicted=0.0212
loss=0.0029, MC price=0.0140, predicted=0.0203
loss=0.0029, MC price=0.0145, predicted=0.0209
loss=0.0026, MC price=0.0135, predicted=0.0198
loss=0.0025, MC price=0.0133, predicted=0.0232
loss=0.0027, MC price=0.0145, predicted=0.0221
loss=0.0029, MC price=0.0145, predicted=0.0213
loss=0.0029, MC price=0.0148, predicted=0.0212
loss=0.0027, MC price=0.0136, predicted=0.0221
loss=0.0028, MC price=0.0140, predicted=0.0218
loss=0.0028, MC price=0.0142, predicted=0.0210
loss=0.0025, MC price=0.0131, predicted=0.0195
loss=0.0025, MC price=0.0129, predicted=0.0204
loss=0.0027, MC price=0.0139, predicted=0.0198
loss=0.0028, MC price=0.0140, predicted=0.0221
loss=0.0032, MC price=0.0153, predicted=0.0206
loss=0.0028, MC price=0.0147, predicted=0.0197
loss=0.0026, MC price=0.0137, predicted=0.0197
loss=0.0032, MC price=0.0152, predicted=0.0213
loss=0.0029, MC price=0.0145, predicted=0.0223
loss=0.0029, MC price=0.0144, predicted=0.0195
loss=0.0029, MC price=0.0145, predicted=0.0196
loss=0.0027, MC price=0.0136, predicted=0.0201
loss=0.0026, MC price=0.0141, predicted=0.0192
loss=0.0030, MC price=0.0140, predicted=0.0223
loss=0.0026, MC price=0.0144, predicted=0.0207
loss=0.0027, MC price=0.0141, predicted=0.0216
loss=0.0029, MC price=0.0142, predicted=0.0207
loss=0.0029, MC price=0.0151, predicted=0.0202
loss=0.0025, MC price=0.0131, predicted=0.0215
loss=0.0028, MC price=0.0136, predicted=0.0214
loss=0.0028, MC price=0.0147, predicted=0.0194
loss=0.0029, MC price=0.0144, predicted=0.0196
loss=0.0027, MC price=0.0142, predicted=0.0194
loss=0.0027, MC price=0.0142, predicted=0.0200
loss=0.0028, MC price=0.0133, predicted=0.0215
loss=0.0024, MC price=0.0133, predicted=0.0195
loss=0.0027, MC price=0.0141, predicted=0.0189
loss=0.0028, MC price=0.0143, predicted=0.0220
loss=0.0028, MC price=0.0140, predicted=0.0206
loss=0.0026, MC price=0.0142, predicted=0.0202
loss=0.0028, MC price=0.0147, predicted=0.0200
loss=0.0034, MC price=0.0137, predicted=0.0212
loss=0.0028, MC price=0.0135, predicted=0.0204
loss=0.0024, MC price=0.0125, predicted=0.0199
loss=0.0027, MC price=0.0136, predicted=0.0212
loss=0.0026, MC price=0.0141, predicted=0.0218
loss=0.0040, MC price=0.0143, predicted=0.0229
loss=0.0023, MC price=0.0141, predicted=0.0211
loss=0.0024, MC price=0.0143, predicted=0.0213
loss=0.0021, MC price=0.0130, predicted=0.0200
loss=0.0022, MC price=0.0140, predicted=0.0213
loss=0.0023, MC price=0.0136, predicted=0.0237
loss=0.0026, MC price=0.0145, predicted=0.0229
loss=0.0023, MC price=0.0142, predicted=0.0226
loss=0.0025, MC price=0.0135, predicted=0.0219
loss=0.0028, MC price=0.0147, predicted=0.0223
loss=0.0022, MC price=0.0132, predicted=0.0234
loss=0.0024, MC price=0.0140, predicted=0.0221
loss=0.0027, MC price=0.0140, predicted=0.0225
loss=0.0025, MC price=0.0144, predicted=0.0228
loss=0.0023, MC price=0.0141, predicted=0.0219
loss=0.0022, MC price=0.0136, predicted=0.0210
loss=0.0023, MC price=0.0138, predicted=0.0210
loss=0.0030, MC price=0.0133, predicted=0.0222
loss=0.0028, MC price=0.0136, predicted=0.0225
loss=0.0027, MC price=0.0140, predicted=0.0218
loss=0.0032, MC price=0.0151, predicted=0.0225
loss=0.0029, MC price=0.0151, predicted=0.0199
loss=0.0027, MC price=0.0136, predicted=0.0212
loss=0.0029, MC price=0.0148, predicted=0.0216
loss=0.0024, MC price=0.0152, predicted=0.0226
loss=0.0027, MC price=0.0149, predicted=0.0226
loss=0.0025, MC price=0.0150, predicted=0.0226
loss=0.0030, MC price=0.0132, predicted=0.0214
loss=0.0029, MC price=0.0144, predicted=0.0224
loss=0.0033, MC price=0.0141, predicted=0.0228
loss=0.0027, MC price=0.0140, predicted=0.0224
loss=0.0024, MC price=0.0147, predicted=0.0225
loss=0.0030, MC price=0.0134, predicted=0.0223
loss=0.0023, MC price=0.0134, predicted=0.0210
loss=0.0025, MC price=0.0147, predicted=0.0215
loss=0.0028, MC price=0.0143, predicted=0.0209
loss=0.0025, MC price=0.0143, predicted=0.0224
loss=0.0028, MC price=0.0140, predicted=0.0212
loss=0.0025, MC price=0.0148, predicted=0.0220
loss=0.0022, MC price=0.0136, predicted=0.0217
loss=0.0024, MC price=0.0141, predicted=0.0223
loss=0.0024, MC price=0.0138, predicted=0.0226
loss=0.0027, MC price=0.0133, predicted=0.0194
loss=0.0033, MC price=0.0155, predicted=0.0175
loss=0.0025, MC price=0.0145, predicted=0.0199
loss=0.0023, MC price=0.0145, predicted=0.0207
loss=0.0030, MC price=0.0154, predicted=0.0222
loss=0.0024, MC price=0.0135, predicted=0.0223
loss=0.0022, MC price=0.0133, predicted=0.0223
loss=0.0028, MC price=0.0145, predicted=0.0226
loss=0.0028, MC price=0.0145, predicted=0.0212
loss=0.0023, MC price=0.0136, predicted=0.0215
loss=0.0029, MC price=0.0153, predicted=0.0203
loss=0.0024, MC price=0.0138, predicted=0.0210
loss=0.0027, MC price=0.0136, predicted=0.0223
loss=0.0024, MC price=0.0136, predicted=0.0224
loss=0.0028, MC price=0.0132, predicted=0.0210
loss=0.0029, MC price=0.0142, predicted=0.0223
loss=0.0023, MC price=0.0139, predicted=0.0205
